Country,Area,Waterbody_Type,Date,Ammonia_mg_L,BOD_mg_L,DO_mg_L,Orthophosphate_mg_L,pH,Temperature_C,Nitrogen_mg_L,Nitrate_mg_L,CCME_Values,CCME_WQI
USA,Florida,River,15-11-2020,0.13,1.87,12.28,0.033,7.1,7.4,0.23,1.45,91.16,Good
USA,California,Creek,21-12-2020,0.189,8.1,9.82,0.066,6.56,16.2,1.76,1.99,79.95,Fair
China,Shanghai,River,22-03-2022,0.019,1.75,10.25,0.021,6.2,28.1,0.31,0.45,90.34,Good
England,Leeds,Creek,27-12-2023,0.215,3.61,14.16,0.027,7.3,0.0,0.34,0.09,84.74,Good
Ireland,Galway,Pond,10-04-2021,0.054,5.94,14.67,0.085,7.52,9.3,0.27,0.53,89.85,Good
England,Manchester,Reservoir,07-07-2020,0.049,,12.93,,7.57,15.2,2.66,4.81,96.13,Excellent
China,Jiangsu,Lake,09-03-2021,0.448,0.56,14.22,0.003,7.51,8.2,1.48,0.66,76.92,Fair
England,London,Lake,14-03-2022,0.12,6.07,11.86,0.07,7.8,12.7,1.13,0.09,86.4,Good
Canada,Ontario,Canal,19-11-2023,0.053,0.92,9.87,0.076,6.85,14.7,0.01,1.62,95.88,Excellent
England,Leeds,Reservoir,29-08-2023,0.026,2.27,12.51,0.036,7.77,12.5,1.94,1.08,95.86,Excellent
England,Leeds,Lake,21-04-2020,0.003,1.79,10.12,0.005,6.63,18.1,0.14,0.22,97.62,Excellent
Ireland,Limerick,Lake,06-07-2021,0.209,1.89,14.59,0.037,7.04,1.7,0.08,0.93,87.19,Good
USA,California,River,12-01-2022,0.04,0.19,13.13,0.025,7.06,11.2,0.29,0.22,97.76,Excellent
China,Guangdong,River,05-05-2021,0.08,,15.0,0.014,7.61,6.0,0.59,0.04,94.1,Good
Ireland,Cork,Creek,06-08-2020,0.03,0.4,7.91,0.012,6.53,29.8,0.06,0.64,92.79,Good
USA,Texas,Creek,23-01-2020,0.158,3.9,13.09,0.151,8.24,10.7,0.21,1.44,87.23,Good
Ireland,Cork,Creek,17-02-2021,0.011,,13.08,,7.27,17.2,3.03,0.72,89.99,Good
USA,Texas,Reservoir,23-06-2020,0.223,0.06,11.51,0.064,7.4,16.4,0.09,0.08,88.8,Good
China,Beijing,Creek,17-09-2022,0.036,0.26,12.36,0.076,7.17,19.3,0.6,4.71,97.88,Excellent
USA,California,Reservoir,09-07-2020,0.026,1.02,13.22,0.02,8.21,13.3,1.53,1.03,97.42,Excellent
Ireland,Dublin,Reservoir,01-08-2021,0.001,0.29,8.36,0.016,7.21,20.1,0.74,1.87,95.52,Excellent
England,Manchester,Reservoir,11-03-2022,0.034,0.47,12.23,0.052,7.97,10.5,,1.22,97.72,Excellent
Ireland,Cork,Pond,13-10-2023,0.027,0.15,12.48,0.003,6.68,5.5,0.77,2.38,98.46,Excellent
USA,Florida,Stream,28-10-2022,0.07,0.25,12.44,,6.64,2.3,0.73,1.88,96.21,Excellent
USA,Pennsylvania,Canal,03-11-2020,0.142,,11.11,0.103,7.51,14.2,0.26,0.15,92.2,Good
USA,Pennsylvania,Canal,21-02-2022,0.051,7.27,12.86,0.012,6.98,12.8,0.15,0.28,88.36,Good
England,London,Reservoir,26-11-2020,0.595,0.13,10.47,0.037,6.22,19.8,0.63,0.66,68.42,Fair
Canada,Alberta,River,05-07-2023,0.034,5.2,8.67,0.029,7.06,30.5,0.35,0.14,88.45,Good
USA,Texas,Lake,27-10-2023,0.052,2.37,11.64,0.076,6.77,11.0,0.99,0.32,94.43,Good
Canada,Quebec,Creek,23-11-2022,,2.69,13.56,0.066,8.0,18.3,0.25,1.27,96.34,Excellent
China,Guangdong,Stream,25-09-2020,0.103,1.31,10.76,0.079,8.04,20.1,1.81,1.98,93.21,Good
Ireland,Galway,Reservoir,30-06-2023,0.029,5.09,14.21,0.014,7.23,14.5,0.58,2.08,92.21,Good
England,London,Pond,30-10-2023,0.094,1.2,9.11,0.086,7.98,31.6,0.16,1.78,91.56,Good
England,Manchester,Lake,04-06-2023,0.041,0.88,9.93,,7.07,26.5,0.97,2.22,96.66,Excellent
China,Beijing,Lake,07-03-2023,0.035,2.55,9.1,0.005,7.73,28.0,,1.7,92.81,Good
England,London,Canal,31-01-2020,,3.77,12.26,0.157,6.95,16.4,1.55,0.02,76.93,Fair
Canada,British Columbia,Creek,27-06-2020,0.004,,13.47,0.074,7.84,11.3,0.09,0.79,97.45,Excellent
England,London,Stream,04-10-2021,0.106,6.94,11.41,0.013,7.48,22.4,0.35,5.64,85.99,Good
Canada,British Columbia,Lake,19-05-2020,,1.02,9.53,0.101,7.07,17.6,0.33,1.62,90.22,Good
Ireland,Galway,Reservoir,01-07-2020,0.167,0.33,12.13,0.004,6.33,18.1,0.08,0.63,85.42,Good
USA,Texas,Pond,01-08-2022,0.128,1.02,10.5,0.153,6.33,14.5,1.12,0.3,86.5,Good
Ireland,Limerick,Reservoir,24-06-2022,0.225,0.66,7.66,0.02,7.12,20.1,0.69,0.41,82.07,Good
Canada,Ontario,Creek,26-09-2022,0.114,0.7,12.52,0.061,6.78,20.0,0.66,1.38,93.4,Good
USA,Florida,Canal,10-08-2021,0.197,1.15,11.35,0.001,6.8,16.1,0.23,0.19,88.73,Good
England,Leeds,Canal,23-06-2023,0.417,,13.14,0.017,8.21,8.7,1.51,9.03,76.87,Fair
Canada,Alberta,Reservoir,15-11-2022,0.06,0.38,12.74,0.019,6.36,21.3,0.27,2.96,90.8,Good
China,Guangdong,Reservoir,19-06-2020,0.025,1.85,12.13,,7.43,0.4,,0.79,96.45,Excellent
England,Leeds,Reservoir,29-10-2023,0.027,3.81,14.11,0.046,7.08,14.1,1.55,0.79,93.89,Good
USA,Pennsylvania,Pond,26-04-2020,0.022,0.4,11.32,0.119,7.24,9.6,2.14,0.08,98.41,Excellent
Canada,Ontario,Lake,03-08-2020,0.019,5.89,12.78,0.006,7.89,31.1,,0.68,91.71,Good
Ireland,Limerick,Lake,13-03-2023,0.142,1.4,9.82,0.025,6.54,8.6,0.32,2.63,90.72,Good
England,London,Lake,06-03-2022,0.039,0.17,12.95,0.03,6.98,19.5,0.17,0.3,97.82,Excellent
England,London,Reservoir,12-08-2022,0.387,3.67,10.1,0.004,6.93,27.2,0.2,2.12,76.04,Fair
England,Leeds,River,24-06-2020,0.019,1.12,10.63,0.167,6.21,18.7,0.09,6.36,91.16,Good
Canada,Ontario,Stream,06-06-2022,0.111,2.69,13.95,0.012,6.75,12.9,0.33,1.08,91.07,Good
Canada,Alberta,Reservoir,12-05-2020,0.057,1.38,6.4,0.039,7.53,32.0,1.75,1.5,86.42,Good
Ireland,Galway,Creek,22-09-2022,0.086,2.06,13.79,0.001,6.58,20.5,,0.05,93.11,Good
Canada,Alberta,River,24-07-2021,0.162,1.11,12.28,,6.77,13.2,,0.43,90.54,Good
England,London,Creek,14-11-2020,0.048,1.2,11.71,0.182,7.16,24.5,0.1,1.0,96.11,Excellent
England,Manchester,Pond,13-03-2021,0.074,3.37,12.56,0.046,6.77,13.4,0.97,3.58,92.1,Good
Ireland,Dublin,Creek,17-02-2022,0.318,2.47,11.24,0.198,7.67,12.8,0.81,0.32,81.02,Good
USA,Florida,Canal,30-05-2022,0.041,0.18,13.39,0.008,6.53,12.7,0.74,0.97,97.7,Excellent
England,Manchester,River,09-03-2021,0.017,0.5,11.83,0.353,7.91,4.8,0.28,0.78,98.51,Excellent
USA,New York,Reservoir,31-05-2021,0.026,2.77,12.48,0.052,7.37,22.2,2.04,1.03,95.24,Excellent
Canada,Ontario,Lake,21-05-2020,0.09,0.56,12.97,0.016,7.07,9.9,2.53,0.78,94.78,Good
Ireland,Limerick,River,02-09-2021,0.091,0.16,8.81,0.101,8.12,11.9,0.93,0.72,92.28,Good
England,Leeds,Creek,14-03-2021,0.049,5.69,11.49,0.065,7.44,16.6,0.42,1.05,90.44,Good
Ireland,Cork,Canal,20-04-2020,0.09,0.06,13.72,0.017,6.46,16.3,0.89,0.23,90.22,Good
USA,New York,Reservoir,31-08-2021,,7.1,13.31,0.017,6.52,21.5,0.02,1.6,79.02,Fair
Canada,Quebec,Reservoir,08-05-2022,0.237,4.86,12.27,0.008,7.02,15.6,0.39,0.07,82.08,Good
England,Leeds,Creek,11-11-2023,0.069,3.12,10.4,0.005,6.71,28.0,0.38,4.03,92.64,Good
Canada,Alberta,Reservoir,20-11-2023,0.049,4.87,14.16,,6.84,6.3,0.5,3.94,91.46,Good
China,Jiangsu,Canal,21-01-2020,0.157,0.29,12.26,0.028,7.65,19.9,0.02,0.09,91.8,Good
China,Shanghai,River,29-09-2023,0.116,0.04,11.41,0.011,6.67,26.8,0.44,1.47,94.14,Good
China,Shanghai,Reservoir,22-09-2023,0.153,3.31,13.7,0.027,7.51,14.0,0.56,1.81,88.23,Good
Ireland,Dublin,Lake,28-07-2022,0.061,2.88,10.97,0.067,6.82,21.5,0.14,0.47,93.35,Good
Canada,Alberta,Canal,10-10-2021,0.232,,9.52,0.006,7.5,23.4,1.79,0.33,82.92,Good
USA,New York,Reservoir,02-12-2022,0.045,,7.22,0.138,7.65,22.4,0.49,5.0,84.55,Good
USA,New York,Canal,14-09-2020,0.088,0.22,12.21,0.008,7.06,20.9,0.28,1.47,95.31,Excellent
England,London,River,23-03-2021,0.005,2.5,11.05,0.071,8.46,24.5,0.69,2.69,96.6,Excellent
Canada,Alberta,Pond,23-01-2023,0.052,0.2,10.84,0.011,6.79,19.5,1.67,1.83,97.17,Excellent
Canada,Alberta,Lake,13-12-2021,0.304,5.69,14.54,0.054,6.82,11.5,0.0,0.67,77.7,Fair
Canada,Quebec,Pond,27-03-2023,0.323,1.85,15.0,0.108,7.78,13.1,0.09,0.46,81.52,Good
USA,Florida,Canal,15-01-2022,0.064,2.23,13.12,0.011,7.39,18.1,1.76,1.7,94.01,Good
USA,Florida,Reservoir,25-10-2022,0.218,2.71,10.3,0.013,6.74,19.2,3.59,0.25,85.72,Good
USA,New York,Pond,22-07-2022,0.104,4.43,9.97,0.034,8.04,23.6,0.11,0.01,89.2,Good
England,Leeds,Reservoir,22-12-2021,0.152,0.09,11.79,0.024,6.0,15.4,0.08,1.26,84.77,Good
China,Jiangsu,Creek,18-11-2021,0.049,9.78,14.94,0.031,7.66,4.9,1.31,1.3,85.33,Good
USA,Texas,Stream,27-05-2022,0.108,0.27,12.72,0.013,7.7,2.2,0.02,0.81,94.29,Good
Ireland,Cork,Creek,03-05-2023,,1.92,15.0,0.036,6.64,5.7,0.51,0.36,83.76,Good
Canada,Alberta,Stream,06-08-2021,0.055,1.35,13.08,0.054,6.89,10.4,2.0,4.39,95.58,Excellent
England,Birmingham,Pond,24-06-2023,0.124,1.21,12.7,0.046,6.94,9.2,2.82,1.32,92.29,Good
USA,California,Canal,31-07-2020,0.095,3.31,7.36,0.052,7.89,33.6,2.84,1.45,84.53,Good
USA,California,Creek,22-04-2022,0.151,1.38,15.0,0.03,7.96,7.4,3.27,0.52,90.71,Good
USA,New York,Pond,01-07-2023,0.043,1.56,10.83,0.014,7.09,13.8,0.89,0.71,95.9,Excellent
China,Beijing,Pond,28-06-2022,0.06,1.68,10.57,0.102,7.83,19.7,1.69,0.63,94.92,Good
China,Beijing,Pond,16-08-2021,0.04,2.14,8.25,0.055,7.87,22.7,2.22,1.58,90.94,Good
England,Manchester,Lake,20-07-2022,0.055,0.86,14.54,0.046,7.34,5.7,0.59,1.9,96.17,Excellent
China,Jiangsu,River,04-02-2021,,0.26,11.13,0.054,7.26,15.6,0.14,0.55,97.78,Excellent
England,London,Reservoir,08-08-2022,0.029,0.32,11.18,0.031,7.69,25.6,0.09,7.59,98.15,Excellent
England,Leeds,River,06-02-2022,0.52,3.54,10.78,0.028,6.78,18.8,1.66,4.74,70.57,Fair
Canada,British Columbia,Reservoir,10-09-2023,0.023,1.74,13.28,0.08,7.16,4.6,0.03,2.46,96.68,Excellent
Ireland,Galway,Canal,29-04-2022,0.029,0.16,11.83,0.064,6.91,15.3,0.26,1.07,98.35,Excellent
Canada,Ontario,Stream,07-03-2020,0.057,0.35,12.32,0.074,7.97,4.1,1.21,0.39,96.72,Excellent
USA,California,Lake,05-02-2022,0.066,0.15,13.07,0.018,7.87,12.8,0.43,1.64,96.53,Excellent
China,Guangdong,Reservoir,15-12-2020,0.109,0.79,13.87,0.072,6.91,5.5,0.72,0.41,93.55,Good
China,Jiangsu,Lake,12-02-2023,0.088,0.16,12.91,0.086,7.8,19.4,0.4,0.33,95.4,Excellent
England,Manchester,Creek,12-08-2023,0.092,2.06,11.92,0.052,7.8,17.6,0.8,0.21,92.81,Good
England,London,Canal,29-03-2023,0.101,0.04,9.5,0.055,6.92,19.8,0.22,1.37,93.67,Good
England,Manchester,Pond,10-03-2022,0.099,,13.13,0.002,6.36,16.9,0.06,0.13,87.92,Good
Canada,Alberta,Reservoir,25-11-2022,0.138,0.52,14.3,0.009,7.16,9.9,0.23,0.85,92.48,Good
Canada,Alberta,Lake,22-07-2020,0.216,3.97,11.8,0.088,7.65,0.9,1.6,1.27,84.24,Good
Canada,Ontario,Pond,27-03-2023,0.08,3.08,14.38,0.006,6.39,21.3,1.33,2.14,86.59,Good
England,Birmingham,Canal,06-02-2023,0.014,,10.21,,6.96,18.9,0.16,0.46,97.51,Excellent
Canada,British Columbia,Lake,09-07-2020,,0.05,12.06,0.002,6.68,21.1,,1.83,95.77,Excellent
USA,California,Stream,24-01-2020,0.029,0.37,13.24,0.007,7.59,19.7,,0.39,98.11,Excellent
China,Shanghai,River,19-06-2023,,0.16,10.12,0.006,7.16,18.0,0.0,1.79,99.57,Excellent
China,Beijing,Creek,22-02-2022,0.12,1.39,12.77,0.03,6.49,17.4,0.22,5.28,87.23,Good
USA,Texas,Stream,23-07-2023,0.04,1.04,13.13,0.012,6.91,6.5,2.17,3.19,96.7,Excellent
Ireland,Cork,Lake,29-08-2023,0.12,1.79,11.81,0.053,6.92,5.9,0.98,1.84,91.75,Good
Canada,British Columbia,Lake,01-01-2023,0.002,4.22,12.49,0.017,7.53,14.3,0.04,1.58,94.62,Good
Canada,Alberta,Canal,17-06-2021,0.003,2.16,13.02,0.098,7.09,15.5,,0.71,97.14,Excellent
USA,Florida,River,21-10-2020,0.029,4.04,9.12,0.005,7.41,13.1,1.6,0.04,91.3,Good
USA,Pennsylvania,Canal,30-07-2020,0.139,4.65,9.89,0.129,7.07,19.5,0.92,0.31,86.99,Good
USA,New York,Creek,08-09-2020,0.261,1.87,9.18,0.024,7.21,13.9,0.97,4.87,82.57,Good
USA,Texas,Reservoir,20-06-2021,0.355,0.06,10.94,0.084,8.0,10.6,0.08,10.0,82.16,Good
Canada,Ontario,River,09-10-2022,0.049,0.14,11.63,0.055,6.58,23.5,0.09,1.01,97.36,Excellent
Ireland,Cork,Stream,25-07-2020,0.111,1.54,10.83,0.065,6.48,12.7,1.12,0.06,87.4,Good
England,London,Stream,30-05-2020,0.092,4.7,10.12,0.003,6.85,25.9,0.4,0.12,89.51,Good
England,London,Lake,08-11-2023,0.125,1.24,9.49,0.023,7.03,4.8,0.63,0.54,90.92,Good
England,Leeds,Reservoir,21-07-2023,0.128,1.35,8.66,0.041,6.73,24.8,1.3,0.88,88.55,Good
England,Manchester,Lake,03-09-2021,0.003,1.96,11.28,0.029,8.24,14.1,0.73,5.13,97.4,Excellent
USA,Texas,Pond,07-03-2023,0.006,1.42,13.26,0.014,6.54,12.0,1.19,0.2,97.94,Excellent
China,Beijing,River,03-12-2021,0.073,0.26,12.12,0.029,7.46,19.7,0.3,2.69,96.04,Excellent
Ireland,Limerick,Creek,13-05-2023,0.026,0.64,12.48,0.109,7.49,9.4,0.83,1.23,97.9,Excellent
China,Beijing,Lake,04-12-2022,0.377,5.57,12.43,0.268,8.3,15.8,0.89,4.05,74.21,Fair
Ireland,Dublin,Lake,26-05-2023,0.234,4.8,10.74,0.089,7.99,23.4,0.42,0.26,82.28,Good
USA,Pennsylvania,River,26-11-2022,0.093,1.67,12.38,,7.78,9.3,0.87,2.31,93.29,Good
China,Shanghai,Lake,17-01-2022,0.024,0.61,11.49,0.13,6.41,24.5,0.95,1.67,92.62,Good
USA,Texas,River,01-11-2021,0.061,1.21,10.95,0.039,6.07,10.2,0.81,4.73,88.3,Good
Canada,Quebec,River,17-11-2023,0.099,1.63,11.83,0.004,7.27,21.5,0.11,1.3,93.04,Good
Canada,British Columbia,Reservoir,13-09-2022,0.016,7.17,13.88,0.025,7.84,11.4,0.87,0.55,90.23,Good
Canada,Ontario,Reservoir,21-12-2023,0.149,7.86,10.47,0.037,7.26,21.4,0.47,1.16,82.74,Good
China,Guangdong,Stream,12-10-2022,0.033,5.99,14.69,,7.32,0.0,1.4,9.67,90.84,Good
England,Leeds,Lake,27-05-2021,0.008,3.03,12.7,0.039,7.76,9.8,0.26,3.7,95.83,Excellent
Canada,Quebec,Pond,29-07-2021,,5.88,10.8,0.043,7.67,14.1,0.39,2.23,91.53,Good
England,London,Creek,18-04-2023,0.052,2.4,10.56,0.003,6.43,13.6,0.98,1.05,89.05,Good
Ireland,Cork,Canal,25-02-2021,0.181,0.35,13.68,0.053,7.98,20.0,0.32,1.09,90.5,Good
England,Leeds,Stream,17-05-2022,,0.3,10.1,0.001,7.11,33.9,0.31,0.12,99.41,Excellent
China,Guangdong,Canal,14-10-2021,0.05,5.62,11.09,0.034,7.15,9.5,0.23,0.0,90.46,Good
China,Beijing,Creek,23-02-2022,0.003,3.03,10.57,0.059,6.39,13.2,0.07,0.4,90.52,Good
England,Manchester,Creek,23-12-2021,0.092,2.76,9.76,0.023,6.31,23.1,0.15,1.35,85.42,Good
Ireland,Dublin,Stream,08-12-2020,0.024,0.05,14.13,0.057,7.08,9.4,3.61,0.02,98.73,Excellent
USA,Pennsylvania,Reservoir,16-04-2023,0.008,5.07,10.85,0.075,7.01,13.7,0.4,2.5,93.24,Good
England,Birmingham,Creek,14-08-2023,0.009,5.85,12.48,0.046,6.36,10.4,1.68,0.12,86.58,Good
China,Guangdong,Stream,02-03-2020,0.12,2.45,13.27,0.096,7.84,16.7,,0.17,90.92,Good
USA,Texas,Canal,22-10-2021,0.323,1.25,11.86,0.139,6.67,18.4,1.87,3.61,82.27,Good
England,Manchester,Reservoir,17-05-2021,0.015,1.34,13.04,0.108,7.32,19.8,0.33,1.8,97.56,Excellent
USA,Texas,Pond,31-01-2022,0.017,3.39,9.2,0.189,6.88,15.0,0.06,1.15,92.91,Good
Ireland,Cork,Canal,05-10-2021,0.021,1.64,14.49,0.033,6.93,11.7,2.03,1.44,96.9,Excellent
USA,California,Reservoir,10-11-2023,0.03,0.42,14.6,,7.16,7.7,0.26,1.17,98.0,Excellent
USA,Florida,Lake,11-08-2022,0.001,2.23,12.03,,7.71,22.3,0.83,0.73,97.15,Excellent
China,Guangdong,Lake,24-02-2023,0.097,5.68,14.46,0.065,6.86,16.7,0.27,1.33,88.08,Good
USA,New York,Reservoir,17-05-2023,0.047,3.7,12.58,0.089,7.06,6.5,0.85,1.07,93.0,Good
Canada,Quebec,River,22-02-2023,0.117,0.11,11.79,0.049,6.85,16.0,0.47,0.41,94.02,Good
Ireland,Dublin,Creek,16-08-2023,0.286,0.04,10.79,,7.72,13.5,0.41,3.58,85.63,Good
England,Leeds,Reservoir,17-10-2021,0.069,0.39,11.56,0.125,6.43,35.0,0.65,0.44,90.69,Good
Canada,Quebec,River,08-10-2022,0.074,1.88,11.3,0.076,7.17,13.7,0.02,2.28,93.94,Good
England,London,Reservoir,12-05-2022,0.017,6.73,14.05,0.039,7.24,0.0,0.31,1.12,90.72,Good
USA,California,Stream,16-12-2020,0.01,2.93,13.7,0.018,6.77,15.9,0.84,0.22,95.86,Excellent
China,Guangdong,Creek,23-02-2022,0.188,0.82,12.59,0.074,7.92,11.7,0.83,3.07,89.6,Good
Canada,Ontario,Reservoir,06-02-2020,0.035,4.65,8.23,0.0,7.29,29.8,0.18,0.17,88.01,Good
China,Beijing,Stream,05-08-2021,0.019,2.11,10.45,0.078,8.05,22.6,0.56,1.08,96.44,Excellent
Canada,Alberta,River,28-12-2022,0.126,0.72,11.34,0.054,7.67,12.2,0.17,0.18,92.82,Good
China,Beijing,Reservoir,13-08-2023,0.185,0.91,12.72,0.191,7.06,25.2,0.18,1.29,89.61,Good
USA,California,Stream,13-07-2020,0.004,0.24,13.39,,6.55,12.1,0.79,2.37,99.5,Excellent
England,Birmingham,Reservoir,11-10-2021,0.075,3.22,12.13,0.047,7.5,33.0,0.58,3.19,92.22,Good
Ireland,Limerick,River,13-02-2023,0.043,1.06,12.97,0.199,6.81,8.0,2.09,5.36,96.54,Excellent
Ireland,Limerick,Creek,06-04-2020,0.077,0.23,8.15,,7.09,16.7,0.38,0.65,91.22,Good
England,Birmingham,Pond,19-07-2022,0.224,0.61,12.07,0.005,7.49,13.2,0.42,0.78,88.02,Good
England,London,Canal,04-02-2022,0.014,2.07,12.65,0.154,6.89,13.2,0.72,1.48,96.69,Excellent
China,Beijing,River,03-04-2021,0.045,6.18,13.36,0.107,6.25,8.6,0.13,4.13,83.77,Good
USA,California,Lake,03-08-2020,,1.24,10.69,0.064,6.54,5.2,0.52,1.11,92.11,Good
Ireland,Limerick,Lake,14-12-2020,0.027,2.52,15.0,0.074,7.58,0.0,0.02,1.89,95.5,Excellent
USA,Texas,Pond,25-01-2022,0.057,1.5,11.01,0.059,7.44,17.3,0.03,0.38,95.25,Excellent
China,Beijing,Pond,17-04-2020,0.097,1.46,9.6,0.027,7.73,17.8,1.67,1.11,92.3,Good
Ireland,Dublin,River,08-04-2020,0.374,0.5,9.84,0.019,6.85,29.7,0.61,0.03,80.28,Good
Ireland,Dublin,Reservoir,05-11-2021,0.135,3.42,13.47,0.125,7.32,17.5,1.6,7.84,88.97,Good
China,Jiangsu,Reservoir,01-12-2023,0.132,2.02,11.07,0.038,6.65,10.5,0.06,2.76,90.87,Good
Canada,Quebec,Creek,01-08-2022,0.01,4.85,12.78,0.04,7.15,18.9,0.95,0.49,93.44,Good
USA,Texas,Reservoir,30-10-2020,0.06,3.64,11.47,0.069,6.69,28.5,0.29,0.36,92.44,Good
China,Jiangsu,Pond,04-07-2022,0.034,0.15,14.83,0.042,6.95,6.0,0.31,0.81,98.11,Excellent
USA,Pennsylvania,Creek,07-05-2021,0.32,0.27,11.9,0.024,7.86,9.4,0.6,1.99,83.68,Good
China,Jiangsu,Pond,30-09-2022,0.035,2.83,9.72,0.006,7.3,16.4,0.24,0.73,94.01,Good
Ireland,Galway,Canal,15-09-2022,0.072,2.69,11.04,0.004,6.48,14.7,0.46,1.85,87.91,Good
Canada,Ontario,Reservoir,29-08-2021,,0.68,12.59,0.023,6.61,11.0,0.11,0.41,93.05,Good
USA,Florida,Creek,11-05-2021,0.023,0.64,12.6,0.011,7.54,11.2,0.92,2.62,98.04,Excellent
Canada,Ontario,River,09-10-2022,0.054,0.93,10.47,0.012,7.65,25.7,0.13,1.07,96.13,Excellent
USA,Texas,River,05-10-2023,0.122,0.09,13.16,0.017,6.61,13.6,0.22,0.59,93.77,Good
Canada,Alberta,Canal,27-02-2022,,0.74,8.96,0.135,7.61,19.6,0.81,0.04,95.79,Excellent
Canada,Alberta,River,28-11-2021,0.171,7.19,15.0,0.009,7.63,9.9,1.02,1.0,82.46,Good
Canada,British Columbia,Canal,30-09-2021,0.101,2.08,12.02,0.008,7.49,7.6,0.34,1.32,92.36,Good
England,Manchester,Canal,30-10-2022,0.052,1.94,10.41,0.017,7.22,15.6,,0.11,94.99,Good
USA,Texas,Lake,14-01-2022,0.112,3.03,12.08,0.02,6.89,8.4,0.63,0.88,90.59,Good
England,Leeds,Canal,24-06-2023,0.008,3.47,11.48,0.012,7.38,23.0,0.13,2.66,95.24,Excellent
China,Shanghai,Canal,30-03-2022,0.068,3.52,10.97,0.051,7.24,24.0,0.42,0.64,92.22,Good
Canada,Ontario,Reservoir,16-05-2022,0.045,2.38,10.35,0.019,7.18,20.6,0.0,0.1,94.79,Good
Canada,British Columbia,Canal,28-03-2023,0.049,1.4,11.99,0.009,7.34,33.8,1.37,1.29,95.82,Excellent
USA,Texas,Stream,07-08-2020,0.167,1.11,10.73,0.126,7.08,17.1,0.73,1.97,90.28,Good
USA,Texas,River,01-08-2022,0.229,1.8,12.5,0.011,7.24,9.7,0.08,1.76,86.29,Good
Canada,British Columbia,River,02-09-2022,0.179,2.05,12.19,0.06,8.02,17.6,0.07,2.15,88.48,Good
China,Jiangsu,Reservoir,27-06-2021,0.019,0.78,10.13,0.017,6.93,9.7,0.02,0.96,98.1,Excellent
USA,Pennsylvania,River,26-12-2021,0.054,3.43,12.16,0.066,6.74,19.1,0.27,0.09,93.01,Good
England,Manchester,Lake,23-03-2022,0.192,0.34,11.64,0.049,7.77,25.8,1.32,2.23,89.98,Good
China,Jiangsu,Creek,14-11-2021,0.01,0.39,12.04,0.014,7.82,11.5,0.49,3.56,99.03,Excellent
USA,New York,Reservoir,27-01-2022,0.246,3.23,10.3,0.022,7.39,20.3,0.98,0.24,83.66,Good
USA,California,Pond,22-02-2022,0.102,2.49,10.46,0.032,7.39,18.7,0.9,2.23,91.76,Good
England,Manchester,Reservoir,22-01-2021,0.172,0.36,9.72,0.081,7.53,22.9,0.76,0.87,90.26,Good
England,Manchester,Creek,19-07-2021,0.012,5.3,8.39,0.037,7.3,11.2,0.37,6.92,88.78,Good
China,Jiangsu,Creek,06-06-2022,0.081,0.37,11.12,0.013,7.11,23.8,0.81,4.16,95.48,Excellent
USA,California,Pond,24-05-2021,0.007,0.7,13.87,0.017,7.21,9.4,0.08,1.04,98.76,Excellent
USA,Texas,River,18-04-2020,0.011,0.68,11.07,0.023,7.7,21.7,0.28,1.51,98.6,Excellent
USA,Pennsylvania,Reservoir,03-05-2021,0.016,2.75,13.61,0.113,6.96,14.0,0.13,0.32,95.78,Excellent
USA,Pennsylvania,River,18-07-2021,0.048,3.15,12.93,0.043,7.04,9.7,0.78,2.6,93.66,Good
Canada,Alberta,Stream,15-03-2022,0.137,2.21,14.04,0.007,7.21,18.8,0.18,1.75,90.38,Good
USA,Texas,Pond,17-11-2023,0.034,5.33,8.38,,7.06,23.8,0.17,1.1,87.62,Good
Ireland,Limerick,Lake,16-12-2020,0.242,3.33,13.54,0.004,6.57,11.5,1.13,0.44,83.72,Good
Canada,British Columbia,Pond,12-08-2021,0.239,0.08,11.75,0.066,7.38,5.5,0.25,1.03,87.93,Good
China,Guangdong,Pond,07-01-2020,0.073,1.48,11.89,0.012,7.98,14.7,1.2,0.53,94.51,Good
USA,Texas,Creek,05-12-2023,0.055,2.0,9.48,0.001,6.4,19.5,0.02,0.96,87.92,Good
China,Jiangsu,Pond,17-09-2021,0.106,1.05,9.85,0.152,7.02,17.7,0.6,2.32,93.0,Good
Canada,Quebec,Reservoir,27-10-2023,0.05,4.72,12.74,0.019,7.31,16.1,2.43,1.48,91.61,Good
USA,Texas,Lake,11-11-2021,0.019,0.73,10.22,0.039,6.95,25.1,0.67,2.62,98.12,Excellent
England,Manchester,River,26-09-2023,0.049,0.47,13.2,0.097,7.87,13.5,0.19,2.49,96.98,Excellent
England,Leeds,Reservoir,12-02-2020,0.106,0.61,11.03,0.06,6.32,17.4,,0.97,88.03,Good
Canada,British Columbia,River,15-12-2020,0.111,0.91,10.63,0.06,7.49,14.0,2.06,3.2,93.33,Good
USA,Pennsylvania,Reservoir,28-08-2022,0.248,2.75,9.62,0.021,6.92,12.0,0.47,3.45,83.19,Good
China,Beijing,Stream,21-05-2021,0.244,0.87,12.33,0.342,7.05,0.0,1.19,0.99,86.72,Good
England,London,River,05-02-2020,0.066,1.87,8.76,0.144,6.63,27.7,,1.87,91.28,Good
